close,time,ema20,ema50
1104.01,1517078904887,1104.1387982987621,1104.1599877773824
1104,1517078906039,1104.1040987240717,1104.1447508462031
1103.96,1517078911031,1104.068074043054,1104.127155527517
1103.96,1517078913116,1104.0410555322906,1104.111235953468
1103.96,1517078914169,1104.020791649218,1104.0968325293281
1104,1517078915217,1104.0155937369134,1104.0876103836779
1104,1517078917148,1104.011695302685,1104.0792665376134
1103.96,1517078918235,1103.9987714770136,1104.0679078197454
1104,1517078920159,1103.99907860776,1104.061440408341
1103.96,1517078920452,1103.98930895582,1104.0517794170705
1103.96,1517078921818,1103.981981716865,1104.0430385202067
1104,1517078923729,1103.9864862876489,1104.0389396135204
1104,1517078929771,1103.9898647157365,1104.0352310788994
1104,1517078931236,1103.9923985368023,1104.031875738052
1104,1517078931614,1103.9942989026017,1104.0288399534757
1104,1517078934380,1103.9957241769512,1104.02609329124
1104,1517078935816,1103.9967931327133,1104.0236082158838
1104,1517078942141,1103.9975948495348,1104.021359814371
1104.92,1517078943321,1104.2281961371511,1104.1069445939547
1104,1517078944824,1104.1711471028634,1104.0967593945304
1104,1517078945951,1104.1283603271477,1104.087544214099
1104,1517078946667,1104.0962702453608,1104.0792066698991
1104,1517078947999,1104.0722026840206,1104.0716631775279
1104,1517078949637,1104.0541520130155,1104.0648381130013
1104.91,1517078954489,1104.2681140097616,1104.145329721287
1104.91,1517078957456,1104.4285855073213,1104.2181554621168
1104,1517078959570,1104.321439130491,1104.197378751439
1104.9,1517078963168,1104.4660793478683,1104.2642950608258
1104.9,1517078964588,1104.5745595109013,1104.3248383883663
1104.5,1517078965470,1104.555919633176,1104.341520446617
1104.5,1517078968684,1104.541939724882,1104.3566137374155
1104,1517078969913,1104.4064547936614,1104.3226505243283
1104,1517078971065,1104.304841095246,1104.2919219029638
1104.5,1517078978924,1104.3536308214345,1104.3117388645865
1104.9,1517078980150,1104.4902231160759,1104.367763734626
1104.92,1517078981211,1104.597667337057,1104.4203576646614
1104.91,1517078981791,1104.6757505027927,1104.466990268027
1104.92,1517078985068,1104.7368128770945,1104.5101340520246
1104.91,1517078988142,1104.780109657821,1104.5482165232602
1104.01,1517078989779,1104.5875822433657,1104.4969578067594
1104.01,1517078990577,1104.4431866825244,1104.4505808727822
1104.01,1517078992249,1104.3348900118933,1104.40862078966
1104.01,1517079001229,1104.25366750892,1104.3706569049305
1104.01,1517079002477,1104.19275063169,1104.3363086282704
1104.01,1517079005856,1104.1470629737676,1104.3052316160542
1104.01,1517079007106,1104.1127972303257,1104.2771143192872
1104.01,1517079009168,1104.0870979227443,1104.2516748603075
1104.01,1517079010976,1104.0678234420582,1104.228658206945
1104.01,1517079012512,1104.0533675815436,1104.2078336158074
1104.01,1517079021039,1104.0425256861577,1104.1889923190638
1104.01,1517079023165,1104.0343942646182,1104.171945431534
